,year,region,p-value,num_years_forward,noise_type,fraction,null_hypothesis,test_year
0,1975,WLD,1.0,3,t-dist,default,default,1975
1,1976,WLD,1.0,3,t-dist,default,default,1976
2,1977,WLD,1.0,3,t-dist,default,default,1977
3,1978,WLD,1.0,3,t-dist,default,default,1978
4,1979,WLD,0.0,3,t-dist,default,default,1979
5,1980,WLD,0.0,3,t-dist,default,default,1980
6,1981,WLD,0.0,3,t-dist,default,default,1981
7,1982,WLD,1.0,3,t-dist,default,default,1982
8,1983,WLD,1.0,3,t-dist,default,default,1983
9,1984,WLD,1.0,3,t-dist,default,default,1984
10,1985,WLD,1.0,3,t-dist,default,default,1985
11,1986,WLD,1.0,3,t-dist,default,default,1986
12,1987,WLD,1.0,3,t-dist,default,default,1987
13,1988,WLD,1.0,3,t-dist,default,default,1988
14,1989,WLD,1.0,3,t-dist,default,default,1989
15,1990,WLD,0.2227,3,t-dist,default,default,1990
16,1991,WLD,0.0492,3,t-dist,default,default,1991
17,1992,WLD,0.9632,3,t-dist,default,default,1992
18,1993,WLD,0.9978,3,t-dist,default,default,1993
19,1994,WLD,1.0,3,t-dist,default,default,1994
20,1995,WLD,0.9986,3,t-dist,default,default,1995
21,1996,WLD,0.611,3,t-dist,default,default,1996
22,1997,WLD,0.9584,3,t-dist,default,default,1997
23,1998,WLD,1.0,3,t-dist,default,default,1998
24,1999,WLD,0.9967,3,t-dist,default,default,1999
25,2000,WLD,0.9933,3,t-dist,default,default,2000
26,2001,WLD,1.0,3,t-dist,default,default,2001
27,2002,WLD,1.0,3,t-dist,default,default,2002
28,2003,WLD,1.0,3,t-dist,default,default,2003
29,2004,WLD,1.0,3,t-dist,default,default,2004
30,2005,WLD,1.0,3,t-dist,default,default,2005
31,2006,WLD,0.9999,3,t-dist,default,default,2006
32,2007,WLD,0.5102,3,t-dist,default,default,2007
33,2008,WLD,0.9883,3,t-dist,default,default,2008
34,2009,WLD,0.9997,3,t-dist,default,default,2009
35,2010,WLD,0.9964,3,t-dist,default,default,2010
36,2011,WLD,0.9215,3,t-dist,default,default,2011
37,2012,WLD,0.8542,3,t-dist,default,default,2012
38,2013,WLD,0.665,3,t-dist,default,default,2013
39,2014,WLD,0.5045,3,t-dist,default,default,2014
40,2015,WLD,0.8708,3,t-dist,default,default,2015
41,2016,WLD,0.9939,3,t-dist,default,default,2016
42,2017,WLD,0.9784,3,t-dist,default,default,2017
43,2018,WLD,0.0275,3,t-dist,default,default,2018
44,2019,WLD,0.4702,3,t-dist,default,default,2019
45,2020,WLD,0.9953,3,t-dist,default,default,2020
46,2021,WLD,0.8776,3,t-dist,default,default,2021
