method,decline_y1_pct,decline_y2_pct,decline_y3_pct,avg_decline_pct,decline_label,slope_p_value,mahal_p_value
hamilton,0,0,0,0.0,0%-0%-0%,0.4964,0.4987
hamilton,0,0,1,0.33,0%-0%-1%,0.3558,0.4755
hamilton,0,0,2,0.67,0%-0%-2%,0.2438,0.3241
hamilton,0,1,0,0.33,0%-1%-0%,0.3551,0.412
hamilton,0,1,1,0.67,0%-1%-1%,0.2458,0.2837
hamilton,0,1,2,1.0,0%-1%-2%,0.1612,0.1355
hamilton,0,2,0,0.67,0%-2%-0%,0.2343,0.1868
hamilton,0,2,1,1.0,0%-2%-1%,0.1577,0.0768
hamilton,0,2,2,1.33,0%-2%-2%,0.1018,0.0243
hamilton,1,0,0,0.33,1%-0%-0%,0.4974,0.4999
hamilton,1,0,1,0.67,1%-0%-1%,0.364,0.4789
hamilton,1,0,2,1.0,1%-0%-2%,0.2552,0.3322
hamilton,1,1,0,0.67,1%-1%-0%,0.3584,0.4243
hamilton,1,1,1,1.0,1%-1%-1%,0.2405,0.2904
hamilton,1,1,2,1.33,1%-1%-2%,0.1605,0.1415
hamilton,1,2,0,1.0,1%-2%-0%,0.2411,0.1831
hamilton,1,2,1,1.33,1%-2%-1%,0.1571,0.0881
hamilton,1,2,2,1.67,1%-2%-2%,0.0986,0.0278
hamilton,2,0,0,0.67,2%-0%-0%,0.5043,0.5045
hamilton,2,0,1,1.0,2%-0%-1%,0.3553,0.4805
hamilton,2,0,2,1.33,2%-0%-2%,0.2379,0.3404
hamilton,2,1,0,1.0,2%-1%-0%,0.3581,0.4312
hamilton,2,1,1,1.33,2%-1%-1%,0.2505,0.2968
hamilton,2,1,2,1.67,2%-1%-2%,0.1651,0.1456
hamilton,2,2,0,1.33,2%-2%-0%,0.2472,0.1868
hamilton,2,2,1,1.67,2%-2%-1%,0.1621,0.0895
hamilton,2,2,2,2.0,2%-2%-2%,0.1053,0.0273
linear_w_autocorrelation,0,0,0,0.0,0%-0%-0%,0.503,0.4951
linear_w_autocorrelation,0,0,1,0.33,0%-0%-1%,0.3494,0.4694
linear_w_autocorrelation,0,0,2,0.67,0%-0%-2%,0.219,0.3033
linear_w_autocorrelation,0,1,0,0.33,0%-1%-0%,0.3426,0.4047
linear_w_autocorrelation,0,1,1,0.67,0%-1%-1%,0.2213,0.2553
linear_w_autocorrelation,0,1,2,1.0,0%-1%-2%,0.1365,0.1023
linear_w_autocorrelation,0,2,0,0.67,0%-2%-0%,0.2267,0.1458
linear_w_autocorrelation,0,2,1,1.0,0%-2%-1%,0.1387,0.0558
linear_w_autocorrelation,0,2,2,1.33,0%-2%-2%,0.0851,0.0154
linear_w_autocorrelation,1,0,0,0.33,1%-0%-0%,0.4981,0.5025
linear_w_autocorrelation,1,0,1,0.67,1%-0%-1%,0.3468,0.4641
linear_w_autocorrelation,1,0,2,1.0,1%-0%-2%,0.2274,0.3126
linear_w_autocorrelation,1,1,0,0.67,1%-1%-0%,0.3501,0.4181
linear_w_autocorrelation,1,1,1,1.0,1%-1%-1%,0.2142,0.2519
linear_w_autocorrelation,1,1,2,1.33,1%-1%-2%,0.1448,0.1055
linear_w_autocorrelation,1,2,0,1.0,1%-2%-0%,0.217,0.155
linear_w_autocorrelation,1,2,1,1.33,1%-2%-1%,0.1444,0.057
linear_w_autocorrelation,1,2,2,1.67,1%-2%-2%,0.087,0.0139
linear_w_autocorrelation,2,0,0,0.67,2%-0%-0%,0.5049,0.5046
linear_w_autocorrelation,2,0,1,1.0,2%-0%-1%,0.3462,0.452
linear_w_autocorrelation,2,0,2,1.33,2%-0%-2%,0.2267,0.3078
linear_w_autocorrelation,2,1,0,1.0,2%-1%-0%,0.3494,0.4204
linear_w_autocorrelation,2,1,1,1.33,2%-1%-1%,0.2205,0.2658
linear_w_autocorrelation,2,1,2,1.67,2%-1%-2%,0.1462,0.1106
linear_w_autocorrelation,2,2,0,1.33,2%-2%-0%,0.2171,0.1519
linear_w_autocorrelation,2,2,1,1.67,2%-2%-1%,0.145,0.0605
linear_w_autocorrelation,2,2,2,2.0,2%-2%-2%,0.0872,0.0159
broken_trend,0,0,0,0.0,0%-0%-0%,0.4971,0.5006
broken_trend,0,0,1,0.33,0%-0%-1%,0.2961,0.4462
broken_trend,0,0,2,0.67,0%-0%-2%,0.1481,0.2495
broken_trend,0,1,0,0.33,0%-1%-0%,0.3001,0.414
broken_trend,0,1,1,0.67,0%-1%-1%,0.1386,0.28
broken_trend,0,1,2,1.0,0%-1%-2%,0.0702,0.1312
broken_trend,0,2,0,0.67,0%-2%-0%,0.151,0.1863
broken_trend,0,2,1,1.0,0%-2%-1%,0.0676,0.1126
broken_trend,0,2,2,1.33,0%-2%-2%,0.0289,0.0536
broken_trend,1,0,0,0.33,1%-0%-0%,0.4954,0.4898
broken_trend,1,0,1,0.67,1%-0%-1%,0.2911,0.4469
broken_trend,1,0,2,1.0,1%-0%-2%,0.1543,0.2539
broken_trend,1,1,0,0.67,1%-1%-0%,0.3051,0.4175
broken_trend,1,1,1,1.0,1%-1%-1%,0.1509,0.2839
broken_trend,1,1,2,1.33,1%-1%-2%,0.0653,0.1418
broken_trend,1,2,0,1.0,1%-2%-0%,0.1528,0.2028
broken_trend,1,2,1,1.33,1%-2%-1%,0.068,0.1151
broken_trend,1,2,2,1.67,1%-2%-2%,0.0277,0.0546
broken_trend,2,0,0,0.67,2%-0%-0%,0.5043,0.4974
broken_trend,2,0,1,1.0,2%-0%-1%,0.3051,0.4462
broken_trend,2,0,2,1.33,2%-0%-2%,0.1467,0.2597
broken_trend,2,1,0,1.0,2%-1%-0%,0.3021,0.4195
broken_trend,2,1,1,1.33,2%-1%-1%,0.1504,0.2884
broken_trend,2,1,2,1.67,2%-1%-2%,0.067,0.1377
broken_trend,2,2,0,1.33,2%-2%-0%,0.1468,0.1956
broken_trend,2,2,1,1.67,2%-2%-1%,0.0698,0.1161
broken_trend,2,2,2,2.0,2%-2%-2%,0.0292,0.0587
spline,0,0,0,0.0,0%-0%-0%,0.5051,0.5088
spline,0,0,1,0.33,0%-0%-1%,0.3031,0.4401
spline,0,0,2,0.67,0%-0%-2%,0.1497,0.267
spline,0,1,0,0.33,0%-1%-0%,0.3075,0.4301
spline,0,1,1,0.67,0%-1%-1%,0.1546,0.31
spline,0,1,2,1.0,0%-1%-2%,0.0747,0.158
spline,0,2,0,0.67,0%-2%-0%,0.1535,0.2312
spline,0,2,1,1.0,0%-2%-1%,0.076,0.1428
spline,0,2,2,1.33,0%-2%-2%,0.0343,0.0722
spline,1,0,0,0.33,1%-0%-0%,0.4926,0.4967
spline,1,0,1,0.67,1%-0%-1%,0.3056,0.4414
spline,1,0,2,1.0,1%-0%-2%,0.1628,0.2673
spline,1,1,0,0.67,1%-1%-0%,0.3083,0.4345
spline,1,1,1,1.0,1%-1%-1%,0.1589,0.3133
spline,1,1,2,1.33,1%-1%-2%,0.0702,0.1597
spline,1,2,0,1.0,1%-2%-0%,0.1591,0.2323
spline,1,2,1,1.33,1%-2%-1%,0.0716,0.1458
spline,1,2,2,1.67,1%-2%-2%,0.0337,0.0814
spline,2,0,0,0.67,2%-0%-0%,0.4958,0.507
spline,2,0,1,1.0,2%-0%-1%,0.3082,0.4458
spline,2,0,2,1.33,2%-0%-2%,0.1633,0.277
spline,2,1,0,1.0,2%-1%-0%,0.3094,0.4364
spline,2,1,1,1.33,2%-1%-1%,0.1713,0.3142
spline,2,1,2,1.67,2%-1%-2%,0.0775,0.1685
spline,2,2,0,1.33,2%-2%-0%,0.1621,0.2432
spline,2,2,1,1.67,2%-2%-1%,0.0765,0.1565
spline,2,2,2,2.0,2%-2%-2%,0.0324,0.0745
